setting_id,regime,sims_per_move,particle_worlds,label,candidate_mode,baseline_mode,games,wins,losses,draws,win_rate,avg_final_vp,avg_turns,mean_latency_ms,seeds,candidate_total_simulations,baseline_total_simulations
sims_16_worlds_2_world_scaled,world_scaled,16,2,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,5.088080863269621,7200 7201,16,16
sims_16_worlds_2_world_scaled,world_scaled,16,2,particle vs none,particle,none,4,3,1,0,0.75,8,122.5,9.778129755642839,7200 7201,32,16
sims_16_worlds_2_world_scaled,world_scaled,16,2,particle vs frequency,particle,frequency,4,3,1,0,0.75,6.75,135,9.602639345055795,7200 7201,32,16
