setting_id,regime,sims_per_move,particle_worlds,label,candidate_mode,baseline_mode,games,wins,losses,draws,win_rate,avg_final_vp,avg_turns,mean_latency_ms,seeds,candidate_total_simulations,baseline_total_simulations
sims_12_worlds_3_world_scaled,world_scaled,12,3,frequency vs none,frequency,none,2,2,0,0,1.0,9,174,3.3978834688427595,7100,12,12
sims_12_worlds_3_world_scaled,world_scaled,12,3,particle vs none,particle,none,2,2,0,0,1.0,8,231,11.495741097929315,7100,36,12
sims_12_worlds_3_world_scaled,world_scaled,12,3,particle vs frequency,particle,frequency,2,2,0,0,1.0,8,156,10.658986381316453,7100,36,12
