setting_id,regime,sims_per_move,particle_worlds,label,candidate_mode,baseline_mode,games,wins,losses,draws,win_rate,avg_final_vp,avg_turns,mean_latency_ms,seeds,candidate_total_simulations,baseline_total_simulations
sims_16_worlds_4_compute_matched,compute_matched,16,4,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,4.776581615189106,7200 7201,16,16
sims_16_worlds_4_compute_matched,compute_matched,16,4,particle vs none,particle,none,4,1,2,1,0.25,4,413.75,6.508464767340565,7200 7201,16,16
sims_16_worlds_4_compute_matched,compute_matched,16,4,particle vs frequency,particle,frequency,4,1,2,1,0.25,4.5,408.75,5.5043753400440565,7200 7201,16,16
