setting_id,regime,sims_per_move,particle_worlds,label,candidate_mode,baseline_mode,games,wins,losses,draws,win_rate,avg_final_vp,avg_turns,mean_latency_ms,seeds,candidate_total_simulations,baseline_total_simulations
sims_16_worlds_2_compute_matched,compute_matched,16,2,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,3.9087190673250167,7200 7201,16,16
sims_16_worlds_2_compute_matched,compute_matched,16,2,particle vs none,particle,none,4,1,2,1,0.25,5.25,371.25,3.604410512466279,7200 7201,16,16
sims_16_worlds_2_compute_matched,compute_matched,16,2,particle vs frequency,particle,frequency,4,2,1,1,0.5,6.5,384,6.16550851280477,7200 7201,16,16
