setting_id,regime,sims_per_move,particle_worlds,label,candidate_mode,baseline_mode,games,wins,losses,draws,win_rate,avg_final_vp,avg_turns,mean_latency_ms,seeds,candidate_total_simulations,baseline_total_simulations
sims_16_worlds_4_world_scaled,world_scaled,16,4,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,6.91107585470674,7200 7201,16,16
sims_16_worlds_4_world_scaled,world_scaled,16,4,particle vs none,particle,none,4,3,1,0,0.75,8,104.5,19.49596938470721,7200 7201,64,16
sims_16_worlds_4_world_scaled,world_scaled,16,4,particle vs frequency,particle,frequency,4,3,1,0,0.75,7.75,121,30.27928076968881,7200 7201,64,16
